OBJECTID,HOEHE,NAME,SPRACHCODE,LONGITUDE,LATITUDE,ELEVATION
1,2901,Piz Combul,Italienisch inkl. Lokalsprachen,10.043944784781406,46.22962343791417,2900.316211999998
2,3451,Piz Corvatsch,Rumantsch Grischun inkl. Lokalsprachen,9.81606682597377,46.40837302917678,3450.548711999998
3,3104,Piz la Stretta,Rumantsch Grischun inkl. Lokalsprachen,10.044810341192873,46.476761097034256,3103.5512119999985
4,3104,Monte Breva,Italienisch inkl. Lokalsprachen,10.044810341192873,46.476761097034256,3103.5512119999985
5,3026,Rötlspitz,Hochdeutsch inkl. Lokalsprachen,10.4573203264759,46.541880112821644,3025.311211999997
6,3026,Piz Cotschen,Rumantsch Grischun inkl. Lokalsprachen,10.4573203264759,46.541880112821644,3025.311211999997
7,3026,Punta Rosa,Italienisch inkl. Lokalsprachen,10.4573203264759,46.541880112821644,3025.311211999997
8,3103,Piz Cancian,Italienisch inkl. Lokalsprachen,9.999625860139934,46.28329221115238,3102.5850119999977
9,3363,Piz Fora,Italienisch inkl. Lokalsprachen,9.784729387172181,46.3408185391646,3362.433711999998
10,3453,Piz Varuna,Italienisch inkl. Lokalsprachen,9.993601608021804,46.35237889568644,3452.480011999998
11,3075,Piz Sena,Italienisch inkl. Lokalsprachen,10.109970777098447,46.3531556922042,3074.543711999997
12,3075,Vetta Sperella,Italienisch inkl. Lokalsprachen,10.109970777098447,46.3531556922042,3074.543711999997
13,2975,Piz Alv,Italienisch inkl. Lokalsprachen,9.99955365575798,46.44932956443595,2974.4562119999973
14,3154,Piz Chalchagn,Rumantsch Grischun inkl. Lokalsprachen,9.905834910314226,46.451394012173495,3153.562511999997
15,3188,Piz Surlej,Rumantsch Grischun inkl. Lokalsprachen,9.843121735390467,46.45321263211718,3187.907511999998
16,3049,Piz Minor,Rumantsch Grischun inkl. Lokalsprachen,10.028328180561166,46.451054198908075,3048.6900119999973
17,3167,Piz Albris,Rumantsch Grischun inkl. Lokalsprachen,9.963597765589252,46.4639494199968,3166.843711999998
18,3380,Piz Güglia,Rumantsch Grischun inkl. Lokalsprachen,9.75991189493712,46.491013900096625,3379.213711999997
19,3380,Piz Julier,Hochdeutsch inkl. Lokalsprachen,9.75991189493712,46.491013900096625,3379.213711999997
20,3153,Piz Prüna,Rumantsch Grischun inkl. Lokalsprachen,9.987276468871944,46.48724949378644,3152.475011999997
21,3246,Piz Ot,Rumantsch Grischun inkl. Lokalsprachen,9.810233233672372,46.543205085599595,3245.8687119999977
22,3125,Piz Schumbraida,Rumantsch Grischun inkl. Lokalsprachen,10.338184396956555,46.54273268680989,3124.321211999997
23,2963,Piz Turettas,Rumantsch Grischun inkl. Lokalsprachen,10.334752050831312,46.58691350007111,2962.5512119999985
24,3124,Piz Nuna,Rumantsch Grischun inkl. Lokalsprachen,10.154511589481022,46.723275160055664,3123.2837119999967
25,2980,Pischahorn,Hochdeutsch inkl. Lokalsprachen,9.94720078157393,46.81306242773312,2980.453711999997
26,3937,Piz Roseg,Rumantsch Grischun inkl. Lokalsprachen,9.882952036804724,46.37363129385927,3936.4625119999982
27,3900,Piz Palü,Rumantsch Grischun inkl. Lokalsprachen,9.960346694235625,46.37886570845506,3899.420011999997
28,4047,Piz Bernina,Rumantsch Grischun inkl. Lokalsprachen,9.908000987346663,46.38241331568261,4048.4950119999976
29,3606,Piz Cambrena,Italienisch inkl. Lokalsprachen,9.977453565627112,46.38737732480378,3604.986211999998
30,3264,Scima da Saoseo,Italienisch inkl. Lokalsprachen,10.158010413536376,46.38563016493802,3263.5062119999984
31,3751,Piz Morteratsch,Rumantsch Grischun inkl. Lokalsprachen,9.901541285494734,46.4025385545714,3750.433711999998
32,3302,Piz Paradisin,Italienisch inkl. Lokalsprachen,10.117223366156372,46.42604285299949,3301.6425119999967
33,3262,Piz Languard,Rumantsch Grischun inkl. Lokalsprachen,9.95652552212431,46.488437229638926,3261.428711999997
34,3056,Piz Nair,Rumantsch Grischun inkl. Lokalsprachen,9.787325205670871,46.50640817687022,3055.5112119999976
